|kierrosID |pelaajaID |pvm       |lahtoAika |onkoTasoitus |reikienLkm |hcp  |kenttaID|
|1         |3         |11.7.2022 |18.50     |ei           |9          |11,0 |1       |
|2         |8         |11.7.2022 |8.50      |kyllä        |18         |4,4  |1       |
|3         |8         |12.7.2022 |10.20     |kyllä        |9          |4,3  |1       |
|4         |10        |12.7.2022 |12.40     |ei           |9          |6,7  |1       |
|5         |10        |12.7.2022 |16.20     |kyllä        |18         |6,7  |1       |
|7         |6         |9.8.2022  |8.00      |ei           |18         |25,6 |1       |
|8         |9         |9.8.2022  |8.00      |kyllä        |18         |35,3 |1       |
|9         |4         |9.8.2022  |11.00     |ei           |18         |30,1 |1       |
|10        |1         |10.8.2022 |11.40     |kyllä        |9          |5,4  |1       |
|11        |1         |10.8.2022 |17.40     |kyllä        |9          |5,4  |1       |
|12        |5         |11.8.2022 |15.10     |kyllä        |18         |15,6 |1       |
